"","layer","NUMPOINTS","Lines.NR","Lines.ID","Line.NR","coords.x1","coords.x2"
"0",0.44089,"2",1,"0",1,172.848463082019,-34.424807695242
"0.1",0.44089,"2",1,"0",1,172.89825734582,-34.424807695242
"0.2",0.44089,"2",1,"0",1,172.89825734582,-34.474615390484
"0.3",0.44089,"2",1,"0",1,172.848463082019,-34.474615390484
"0.4",0.44089,"2",1,"0",1,172.848463082019,-34.424807695242
"1",0.35539,"0",2,"1",1,172.649286026817,-34.474615390484
"1.1",0.35539,"0",2,"1",1,172.699080290618,-34.474615390484
"1.2",0.35539,"0",2,"1",1,172.699080290618,-34.524423085726
"1.3",0.35539,"0",2,"1",1,172.649286026817,-34.524423085726
"1.4",0.35539,"0",2,"1",1,172.649286026817,-34.474615390484
"2",0.32286,"0",3,"2",1,172.699080290618,-34.474615390484
"2.1",0.32286,"0",3,"2",1,172.748874554418,-34.474615390484
"2.2",0.32286,"0",3,"2",1,172.748874554418,-34.524423085726
"2.3",0.32286,"0",3,"2",1,172.699080290618,-34.524423085726
"2.4",0.32286,"0",3,"2",1,172.699080290618,-34.474615390484
"3",0.37695,"0",4,"3",1,172.748874554418,-34.474615390484
"3.1",0.37695,"0",4,"3",1,172.798668818219,-34.474615390484
"3.2",0.37695,"0",4,"3",1,172.798668818219,-34.524423085726
"3.3",0.37695,"0",4,"3",1,172.748874554418,-34.524423085726
"3.4",0.37695,"0",4,"3",1,172.748874554418,-34.474615390484
"4",0.41847,"2",5,"4",1,172.798668818219,-34.474615390484
"4.1",0.41847,"2",5,"4",1,172.848463082019,-34.474615390484
"4.2",0.41847,"2",5,"4",1,172.848463082019,-34.524423085726
"4.3",0.41847,"2",5,"4",1,172.798668818219,-34.524423085726
"4.4",0.41847,"2",5,"4",1,172.798668818219,-34.474615390484
"5",0.41434,"1",6,"5",1,172.848463082019,-34.474615390484
"5.1",0.41434,"1",6,"5",1,172.89825734582,-34.474615390484
"5.2",0.41434,"1",6,"5",1,172.89825734582,-34.524423085726
"5.3",0.41434,"1",6,"5",1,172.848463082019,-34.524423085726
"5.4",0.41434,"1",6,"5",1,172.848463082019,-34.474615390484
"6",0.43485,"27",7,"6",1,172.89825734582,-34.474615390484
"6.1",0.43485,"27",7,"6",1,172.94805160962,-34.474615390484
"6.2",0.43485,"27",7,"6",1,172.94805160962,-34.524423085726
"6.3",0.43485,"27",7,"6",1,172.89825734582,-34.524423085726
"6.4",0.43485,"27",7,"6",1,172.89825734582,-34.474615390484
"7",0.46036,"0",8,"7",1,172.94805160962,-34.474615390484
"7.1",0.46036,"0",8,"7",1,172.997845873421,-34.474615390484
"7.2",0.46036,"0",8,"7",1,172.997845873421,-34.524423085726
"7.3",0.46036,"0",8,"7",1,172.94805160962,-34.524423085726
"7.4",0.46036,"0",8,"7",1,172.94805160962,-34.474615390484
"8",0.36988,"0",9,"8",1,172.748874554418,-34.524423085726
"8.1",0.36988,"0",9,"8",1,172.798668818219,-34.524423085726
"8.2",0.36988,"0",9,"8",1,172.798668818219,-34.574230780968
"8.3",0.36988,"0",9,"8",1,172.748874554418,-34.574230780968
"8.4",0.36988,"0",9,"8",1,172.748874554418,-34.524423085726
"9",0.4341,"1",10,"9",1,172.798668818219,-34.524423085726
"9.1",0.4341,"1",10,"9",1,172.848463082019,-34.524423085726
"9.2",0.4341,"1",10,"9",1,172.848463082019,-34.574230780968
"9.3",0.4341,"1",10,"9",1,172.798668818219,-34.574230780968
"9.4",0.4341,"1",10,"9",1,172.798668818219,-34.524423085726
"10",0.36114,"0",11,"10",1,172.798668818219,-34.574230780968
"10.1",0.36114,"0",11,"10",1,172.848463082019,-34.574230780968
"10.2",0.36114,"0",11,"10",1,172.848463082019,-34.62403847621
"10.3",0.36114,"0",11,"10",1,172.798668818219,-34.62403847621
"10.4",0.36114,"0",11,"10",1,172.798668818219,-34.574230780968
"11",0.34011,"0",12,"11",1,172.848463082019,-34.574230780968
"11.1",0.34011,"0",12,"11",1,172.89825734582,-34.574230780968
"11.2",0.34011,"0",12,"11",1,172.89825734582,-34.62403847621
"11.3",0.34011,"0",12,"11",1,172.848463082019,-34.62403847621
"11.4",0.34011,"0",12,"11",1,172.848463082019,-34.574230780968
"12",0.35136,"0",13,"12",1,172.848463082019,-34.62403847621
"12.1",0.35136,"0",13,"12",1,172.89825734582,-34.62403847621
"12.2",0.35136,"0",13,"12",1,172.89825734582,-34.673846171452
"12.3",0.35136,"0",13,"12",1,172.848463082019,-34.673846171452
"12.4",0.35136,"0",13,"12",1,172.848463082019,-34.62403847621
"13",0.36701,"8",14,"13",1,172.89825734582,-34.62403847621
"13.1",0.36701,"8",14,"13",1,172.94805160962,-34.62403847621
"13.2",0.36701,"8",14,"13",1,172.94805160962,-34.673846171452
"13.3",0.36701,"8",14,"13",1,172.89825734582,-34.673846171452
"13.4",0.36701,"8",14,"13",1,172.89825734582,-34.62403847621
"14",0.37761,"74",15,"14",1,172.94805160962,-34.62403847621
"14.1",0.37761,"74",15,"14",1,172.997845873421,-34.62403847621
"14.2",0.37761,"74",15,"14",1,172.997845873421,-34.673846171452
"14.3",0.37761,"74",15,"14",1,172.94805160962,-34.673846171452
"14.4",0.37761,"74",15,"14",1,172.94805160962,-34.62403847621
"15",0.28328,"0",16,"15",1,172.89825734582,-34.673846171452
"15.1",0.28328,"0",16,"15",1,172.94805160962,-34.673846171452
"15.2",0.28328,"0",16,"15",1,172.94805160962,-34.723653866695
"15.3",0.28328,"0",16,"15",1,172.89825734582,-34.723653866695
"15.4",0.28328,"0",16,"15",1,172.89825734582,-34.673846171452
"16",0.31013,"1",17,"16",1,172.94805160962,-34.673846171452
"16.1",0.31013,"1",17,"16",1,172.997845873421,-34.673846171452
